Date,F1,F2,F3,F4,F5,F6,Like
6/4,Fresh Strawberry,Yellow Cake Batter (SF),Cookies & Cream,Costa Rican Cappuccino,Ghirardelli Chocolate,Vanilla Classic,6
6/3,Fresh Strawberry,Yellow Cake Batter (SF),Cookies & Cream,Costa Rican Cappuccino,Ghirardelli Chocolate,Vanilla Classic,6
6/2,Chocolate Covered Strawberries,Yellow Cake Batter (SF),Passion Orange Guava (Sorbet),Costa Rican Cappuccino,Ghirardelli Chocolate,Vanilla Classic,8
6/1,Chocolate Covered Strawberries,Butterscotch Parfait (SF),Passion Orange Guava (Sorbet),Costa Rican Cappuccino,Ghirardelli Chocolate,Vanilla Classic,10
5/31,Chocolate Covered Strawberries,Butterscotch Parfait (SF),Passion Orange Guava (Sorbet),Costa Rican Cappuccino,Ghirardelli Chocolate,Vanilla Classic,7
5/30,Chocolate Covered Strawberries,Butterscotch Parfait (SF),Wild Berry (Tart),Costa Rican Cappuccino,Ghirardelli Chocolate,Vanilla Classic,15
5/29,Cookies & Cream,Butterscotch Parfait (SF),Wild Berry (Tart),Salted Caramel Macadamia (Low Fat),Ghirardelli Chocolate,Vanilla Classic,8
5/28,Cookies & Cream,Butter Pecan (SF),Blueberry (Tart),Salted Caramel Macadamia (Low Fat),Ghirardelli Chocolate,Vanilla Classic,7
5/27,Cookies & Cream,Butter Pecan (SF),Blueberry (Tart),Salted Caramel Macadamia (Low Fat),Ghirardelli Chocolate,Vanilla Classic,5
5/26,Cookies & Cream,Butter Pecan (SF),Blueberry (Tart),Salted Caramel Macadamia (Low Fat),Ghirardelli Chocolate,Vanilla Classic,11
5/25,Cookies & Cream,Butter Pecan (SF),Blueberry (Tart),Salted Caramel Macadamia (Low Fat),Ghirardelli Chocolate,Vanilla Classic,9
5/24,Cookies & Cream,Butter Pecan (SF),Blueberry (Tart),Salted Caramel Macadamia (Low Fat),Ghirardelli Chocolate,Vanilla Classic,9
5/23,Pistachio Cream,Butter Pecan (SF),Blueberry (Tart),Salted Caramel Macadamia (Low Fat),Ghirardelli Chocolate,Vanilla Classic,7
5/22,Mounds Bar,Kahlua (SF),Pistachio Cream,Fresh Blackberry,Ghirardelli Chocolate,Vanilla Classic,6
5/21,Mounds Bar,Kahlua (SF),Pistachio Cream,Fresh Blackberry,Ghirardelli Chocolate,Vanilla Classic,10
5/20,Mounds Bar,Kahlua (SF),Pistachio Cream,Fresh Blackberry,Ghirardelli Chocolate,Vanilla Classic,7
5/19,Mounds Bar,Kahlua (SF),Pistachio Cream,Fresh Blackberry,Ghirardelli Chocolate,Vanilla Classic,11
5/18,Mounds Bar,English Toffee (SF),NY Cheesecake,Fresh Blackberry,Ghirardelli Chocolate,Vanilla Classic,15
5/17,Hawaiian Coconut,English Toffee (SF),Strawberry Shortcake,Peanut Butter Chocolate,Ghirardelli Chocolate,Vanilla Classic,15
5/16,NY Cheesecake,English Toffee (SF),Peanut Butter Chocolate,Strawberry Shortcake,Ghirardelli Chocolate,Vanilla Classic,15
5/15,NY Cheesecake,English Toffee (SF),Peanut Butter Chocolate,Strawberry Shortcake,Ghirardelli Chocolate,Vanilla Classic,19
5/14,NY Cheesecake,Hazelnut (SF),Peanut Butter (Low Fat),Passion Orange Guava (Sorbet),Ghirardelli Chocolate,Vanilla Classic,8
5/13,Vanilla Cappuccino,Hazelnut (SF),Peanut Butter (Low Fat),Passion Orange Guava (Sorbet),Ghirardelli Chocolate,Vanilla Classic,10
5/12,Vanilla Cappuccino,Hazelnut (SF),Peanut Butter (Low Fat),Passion Orange Guava (Sorbet),Ghirardelli Chocolate,Vanilla Classic,15
5/11,Vanilla Cappuccino,Hazelnut (SF),Peanut Butter (Low Fat),Passion Orange Guava (Sorbet),Ghirardelli Chocolate,Vanilla Classic,17
5/10,Vanilla Cappuccino,Maple Walnut (SF),Peanut Butter (Low Fat),Red Raspberry,Ghirardelli Chocolate,Vanilla Classic,13
5/9,Rocky Road,Maple Walnut (SF),Dulce de Leche (Low Fat),Red Raspberry,Ghirardelli Chocolate,Vanilla Classic,11
5/8,Rocky Road,Maple Walnut (SF),Dulce de Leche (Low Fat),Red Raspberry,Ghirardelli Chocolate,Vanilla Classic,6
5/7,Rocky Road,Maple Walnut (SF),Dulce de Leche (Low Fat),Red Raspberry,Ghirardelli Chocolate,Vanilla Classic,12
5/6,Thin Mint Cookie,Maple Walnut (SF),Dulce de Leche (Low Fat),Red Raspberry,Ghirardelli Chocolate,Vanilla Classic,5
5/5,Thin Mint Cookie,Pecans & Pralines (SF),Creme Brulee,Red Raspberry,Ghirardelli Chocolate,Vanilla Classic,9
5/4,Thin Mint Cookie,Pecans & Pralines (SF),Creme Brulee,Red Raspberry,Ghirardelli Chocolate,Vanilla Classic,10
5/3,Mango,Pecans & Pralines (SF),Cookies & Cream,Irish Mint,Ghirardelli Chocolate,Vanilla Classic,15
5/2,Mango,Pecans & Pralines (SF),Cookies & Cream,Irish Mint,Ghirardelli Chocolate,Vanilla Classic,14
5/1,Mango,Pecans & Pralines (SF),Cookies & Cream,Irish Mint,Ghirardelli Chocolate,Vanilla Classic,22
4/30,Maine Blueberry,Caramel Custard (SF),Cookies & Cream,Irish Mint,Ghirardelli Chocolate,Vanilla Classic,12
4/29,Maine Blueberry,Caramel Custard (SF),White Cake Batter,Costa Rican Cappuccino,Ghirardelli Chocolate,Vanilla Classic,7
4/28,Maine Blueberry,Caramel Custard (SF),White Cake Batter,Costa Rican Cappuccino,Ghirardelli Chocolate,Vanilla Classic,10
4/27,Maine Blueberry,Caramel Custard (SF),White Cake Batter,Costa Rican Cappuccino,Ghirardelli Chocolate,Vanilla Classic,8
4/26,Fresh Strawberry,Butter Pecan (SF),Pistachio Cream,Costa Rican Cappuccino,Ghirardelli Chocolate,Vanilla Classic,9
4/25,Fresh Strawberry,Butter Pecan (SF),Pistachio Cream,Costa Rican Cappuccino,Ghirardelli Chocolate,Vanilla Classic,14
4/24,Fresh Strawberry,Butter Pecan (SF),Pistachio Cream,Salted Caramel Pretzel (Low Fat),Ghirardelli Chocolate,Vanilla Classic,8
4/23,Fresh Strawberry,Butter Pecan (SF),Pistachio Cream,Salted Caramel Pretzel (Low Fat),Ghirardelli Chocolate,Vanilla Classic,13
